cobbty01,1936,BBWAA,226,170,222,Y,Player,
ruthba01,1936,BBWAA,226,170,215,Y,Player,
wagneho01,1936,BBWAA,226,170,215,Y,Player,
mathech01,1936,BBWAA,226,170,205,Y,Player,
johnswa01,1936,BBWAA,226,170,189,Y,Player,
lajoina01,1936,BBWAA,226,170,146,N,Player,
speaktr01,1936,BBWAA,226,170,133,N,Player,
youngcy01,1936,BBWAA,226,170,111,N,Player,
hornsro01,1936,BBWAA,226,170,105,N,Player,
cochrmi01,1936,BBWAA,226,170,80,N,Player,
sislege01,1936,BBWAA,226,170,77,N,Player,
collied01,1936,BBWAA,226,170,60,N,Player,
